,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,saint-philippe,90,RE,1615615211,65,-21.3585,55.7679,84.2,20.71
1,ushuaia,75,AR,1615615214,93,-54.8,-68.3,41.0,43.73
2,ahipara,59,NZ,1615615216,85,-35.1667,173.1667,66.97,3.33
3,saint-gilles,0,FR,1615615216,81,43.6766,4.4302,46.4,2.3
4,zima,93,RU,1615615216,96,53.9202,102.0442,30.85,3.91
5,bengkulu,77,ID,1615615217,65,-3.8004,102.2655,84.81,9.62
6,cape town,40,ZA,1615615217,88,-33.9258,18.4232,68.0,13.8
7,esperance,40,AU,1615615218,48,-33.8667,121.9,66.2,14.97
8,oliveira,38,BR,1615615218,93,-20.6964,-44.8272,62.94,3.47
9,vangaindrano,16,MG,1615615219,70,-23.35,47.6,78.51,8.37
10,albany,8,US,1615615120,42,42.6001,-73.9662,32.0,7
11,anadyr,75,RU,1615615219,93,64.75,177.4833,32.0,38.03
12,saint-joseph,90,RE,1615615220,65,-21.3667,55.6167,84.2,20.71
13,umzimvubu,,,,,,,,
14,nishihara,75,JP,1615615220,48,26.1842,127.7558,69.8,11.5
15,dawei,8,MM,1615615221,43,14.0833,98.2,93.6,10.94
16,punta arenas,20,CL,1615615221,53,-53.15,-70.9167,46.4,11.5
17,ponta do sol,100,PT,1615615222,69,32.6667,-17.1,55.99,1.99
18,tawzar,,,,,,,,
19,bluff,0,NZ,1615615222,64,-46.6,168.3333,64.0,5.99
20,butaritari,75,KI,1615615223,76,3.0707,172.7902,81.55,11.27
21,bambous virieux,40,MU,1615615223,70,-20.3428,57.7575,84.99,11.5
22,busselton,0,AU,1615615223,51,-33.65,115.3333,70.0,4
23,mys shmidta,,,,,,,,
24,dera din panah,,,,,,,,
25,mar del plata,0,AR,1615615126,87,-38.0023,-57.5575,60.01,5.75
26,hilo,75,US,1615615224,78,19.7297,-155.09,73.4,9.22
27,praia da vitoria,75,PT,1615615224,94,38.7333,-27.0667,57.99,12.73
28,atuona,41,PF,1615615225,58,-9.8,-139.0333,79.74,3.42
29,kiama,64,AU,1615615225,80,-34.6833,150.8667,86.0,8.99
30,warrensburg,75,US,1615615226,93,38.7628,-93.7361,44.6,5.75
31,taolanaro,,,,,,,,
32,pindiga,65,NG,1615615226,63,9.9833,10.9333,77.49,8.79
33,puerto ayora,2,EC,1615615226,93,-0.7393,-90.3518,75.99,1.01
34,acapulco,0,MX,1615614935,76,16.8634,-99.8901,74.48,3.96
35,rikitea,86,PF,1615615227,76,-23.1203,-134.9692,79.75,9.17
36,hay river,51,CA,1615615227,65,60.8156,-115.7999,-2.2,5.75
37,vaini,75,TO,1615615228,78,-21.2,-175.2,78.8,9.22
38,tasiilaq,90,GL,1615615228,86,65.6145,-37.6368,17.6,2.3
39,fairbanks,1,US,1615614953,76,64.8378,-147.7164,-16.01,2.44
40,kalmunai,22,LK,1615615077,71,7.4167,81.8167,84.7,11.1
41,umkomaas,0,ZA,1615615229,93,-30.2067,30.7978,75.0,10.89
42,barentsburg,,,,,,,,
43,aksu,66,CN,1615615229,21,41.1231,80.2644,61.23,1.21
44,huntingdon,67,GB,1615615230,77,52.3305,-0.1865,43.0,17
45,upernavik,15,GL,1615615230,64,72.7868,-56.1549,-2.79,2.42
46,tuatapere,0,NZ,1615615230,64,-46.1333,167.6833,64.0,5.99
47,luderitz,6,NA,1615615231,64,-26.6481,15.1594,68.0,6.44
48,east london,0,ZA,1615615231,65,-33.0153,27.9116,78.8,8.05
49,tsihombe,,,,,,,,
50,san vicente,0,AR,1615615232,76,-26.6167,-54.1333,58.78,2.33
51,chengde,40,CN,1615615232,37,40.9725,117.9361,54.21,4.18
52,tutova,90,RO,1615615232,93,46.1167,27.55,33.8,12.66
53,chokurdakh,0,RU,1615615233,94,70.6333,147.9167,-17.77,2.53
54,urfa,,,,,,,,
55,vaitupu,,,,,,,,
56,mulki,40,IN,1615615233,58,13.1,74.8,89.6,3.44
57,meridian,1,US,1615615161,48,43.6121,-116.3915,39.2,4.43
58,christchurch,0,NZ,1615615209,67,-43.5333,172.6333,61.0,26.46
59,okha,59,RU,1615615234,89,53.5739,142.9478,32.36,9.53
60,hermanus,44,ZA,1615615234,88,-34.4187,19.2345,63.0,5.99
61,hithadhoo,6,MV,1615615234,61,-0.6,73.0833,83.62,4.68
62,vila velha,0,BR,1615615235,69,-20.3297,-40.2925,77.0,6.91
63,san patricio,90,US,1615615235,88,28.017,-97.5169,72.0,19.57
64,barrow,75,US,1615615236,63,71.2906,-156.7887,-18.4,16.11
65,nago,90,JP,1615615236,52,26.5881,127.9761,69.8,13.8
66,chuy,68,UY,1615615236,90,-33.6971,-53.4616,67.1,5.41
67,port alfred,60,ZA,1615615237,40,-33.5906,26.891,85.77,10.76
68,sao jose da coroa grande,14,BR,1615615237,85,-8.8978,-35.1478,76.57,8.16
69,alice springs,40,AU,1615615157,78,-23.7,133.8833,75.2,9.22
70,beloha,0,MG,1615615238,61,-25.1667,45.05,79.77,14.23
71,kawalu,100,ID,1615615238,50,-7.3817,108.2082,88.86,3.27
72,wanning,81,CN,1615615239,68,18.8003,110.3967,78.8,9.28
73,ocampo,13,MX,1615615239,69,21.65,-101.5,52.3,5.48
74,arraial do cabo,2,BR,1615615209,87,-22.9661,-42.0278,76.32,4.79
75,provideniya,100,RU,1615615240,96,64.3833,-173.3,30.15,30.87
76,jamestown,1,US,1615615240,74,42.097,-79.2353,27.0,12.77
77,auki,68,SB,1615615241,83,-8.7676,160.7034,80.38,4.61
78,brae,75,GB,1615615241,81,60.3964,-1.353,41.0,23.02
79,zhuhai,20,CN,1615615241,73,22.2769,113.5678,81.0,11.5
80,saint-francois,0,FR,1615615241,66,46.4154,3.9054,46.4,8.05
81,yulara,90,AU,1615615242,65,-25.2406,130.9889,77.0,12.66
82,port elizabeth,0,ZA,1615615242,88,-33.918,25.5701,71.6,4.61
83,bundaberg,75,AU,1615615242,69,-24.85,152.35,84.99,14.97
84,lewistown,1,US,1615615243,39,40.5992,-77.5714,42.8,13.8
85,rio grande,99,BR,1615615243,81,-32.035,-52.0986,69.55,6.38
86,georgetown,20,MY,1615615032,66,5.4112,100.3354,87.8,9.22
87,balabac,100,PH,1615615243,82,7.9868,117.0645,79.86,9.24
88,kruisfontein,28,ZA,1615615243,46,-34.0033,24.7314,77.31,7.45
89,hobart,90,AU,1615615118,42,-42.8794,147.3294,66.2,21.85
90,jiuquan,60,CN,1615615244,13,39.7432,98.5174,63.34,21
91,skibbereen,75,IE,1615615244,93,51.55,-9.2667,33.8,14.97
92,mahebourg,40,MU,1615615244,70,-20.4081,57.7,84.2,11.5
93,siquirres,60,CR,1615615245,59,10.0975,-83.5066,64.99,13
94,nikolskoye,90,RU,1615615245,93,59.7035,30.7861,35.6,6.71
95,genhe,1,CN,1615615245,93,50.7833,121.5167,33.13,4.14
96,mahendragarh,56,IN,1615615245,29,28.2833,76.15,84.33,2.84
97,prince rupert,90,CA,1615615246,100,54.3161,-130.3201,42.8,20.71
98,carnarvon,0,AU,1615615246,32,-24.8667,113.6333,96.8,11.5
99,komsomolskiy,100,UZ,1615615246,54,40.4272,71.7189,57.2,4.61
100,dudinka,100,RU,1615615246,95,69.4058,86.1778,2.35,16.62
101,sampit,28,ID,1615615247,80,-2.5333,112.95,84.94,5.41
102,vao,62,NC,1615615247,75,-22.6667,167.4833,77.63,19.84
103,garissa,72,KE,1615615247,68,-0.4536,39.6401,78.69,8.79
104,narsaq,75,GL,1615615247,44,60.9167,-46.05,12.2,3.44
105,wloclawek,97,PL,1615615248,90,52.6482,19.0678,36.0,13.67
106,khatanga,100,RU,1615615248,93,71.9667,102.5,-9.24,12.82
107,saskylakh,9,RU,1615615248,88,71.9167,114.0833,-12.95,15.7
108,talcahuano,0,CL,1615615092,94,-36.7167,-73.1167,55.4,2.3
109,dikson,100,RU,1615615249,92,73.5069,80.5464,-14.13,26.75
110,avarua,40,CK,1615615249,88,-21.2078,-159.775,77.0,3.44
111,kapaa,75,US,1615615249,100,22.0752,-159.319,75.0,11.5
112,te anau,0,NZ,1615615249,61,-45.4167,167.7167,62.89,7.65
113,northam,81,GB,1615615250,79,51.0333,-4.2167,46.0,15.99
114,morant bay,20,JM,1615615250,69,17.8815,-76.4093,78.8,3.44
115,karamea,,,,,,,,
116,lompoc,75,US,1615615250,93,34.6391,-120.4579,50.0,5.08
117,lorengau,32,PG,1615615251,63,-2.0226,147.2712,85.1,5.17
118,haines junction,99,CA,1615615251,55,60.7522,-137.5108,3.2,8.05
119,nyurba,100,RU,1615615251,93,63.2842,118.3319,17.89,9.44
120,longyearbyen,75,SJ,1615615236,79,78.2186,15.6401,12.2,2.3
121,ixtapa,1,MX,1615615252,94,20.7,-105.2,70.0,2.44
122,bargal,,,,,,,,
123,tuktoyaktuk,90,CA,1615615252,77,69.4541,-133.0374,-7.6,14.97
124,amderma,,,,,,,,
125,castro,25,BR,1615615252,98,-24.7911,-50.0119,61.39,4.38
126,ancud,0,CL,1615615252,87,-41.8697,-73.8203,48.2,4.61
127,sataua,,,,,,,,
128,bredasdorp,23,ZA,1615615253,94,-34.5322,20.0403,53.6,5.75
129,beba,20,CU,1615615253,94,22.4437,-79.7253,64.4,5.75
130,tezu,0,IN,1615615253,26,27.9167,96.1667,92.19,5.35
131,itaueira,38,BR,1615615253,95,-7.6033,-43.0256,70.74,2.46
132,pisco,40,PE,1615615254,94,-13.7,-76.2167,70.0,3.44
133,sibolga,15,ID,1615615254,69,1.7427,98.7792,85.32,6.04
134,belushya guba,,,,,,,,
135,gat,27,IL,1615614964,100,31.61,34.7642,55.99,1.99
136,touros,40,BR,1615615254,88,-5.1989,-35.4608,75.2,3.44
137,katobu,49,ID,1615615254,56,-4.9408,122.5276,88.34,4.79
138,tessalit,26,ML,1615615074,50,20.1986,1.0114,56.52,6.96
139,eufaula,1,US,1615615218,82,31.8913,-85.1455,57.0,2.04
140,aleksandrov gay,4,RU,1615615255,82,50.147,48.5704,12.52,8.63
141,cranbrook,75,CA,1615615216,51,49.4999,-115.7688,35.6,8.05
142,filadelfia,40,US,1615615017,16,39.9523,-75.1638,55.4,13.8
143,new norfolk,90,AU,1615615255,42,-42.7826,147.0587,66.2,21.85
144,ribeira grande,100,PT,1615615255,81,38.5167,-28.7,60.51,17.49
145,tazmalt,11,DZ,1615615256,79,36.3868,4.3989,47.5,1.3
146,mataura,0,NZ,1615615252,64,-46.1927,168.8643,64.0,5.99
147,nogliki,45,RU,1615615256,90,51.8333,143.1667,33.98,11.03
148,henties bay,20,NA,1615615044,96,-22.116,14.2845,60.01,3
149,dingle,98,PH,1615615256,86,10.9995,122.6711,80.24,8.79
150,redlands,90,US,1615615153,71,34.0556,-117.1825,46.4,1.21
151,lincoln,90,US,1615615256,45,40.8,-96.667,44.6,8.05
152,kaitangata,0,NZ,1615615257,70,-46.2817,169.8464,64.0,5.99
153,toftir,,,,,,,,
154,geraldton,0,AU,1615615257,27,-28.7667,114.6,89.6,17.27
155,otane,65,NZ,1615615257,69,-39.8833,176.6333,64.0,1.01
156,iqaluit,75,CA,1615615258,69,63.7506,-68.5145,-16.01,13.8
157,kodiak,1,US,1615615258,36,57.79,-152.4072,23.0,19.57
158,kumluca,3,TR,1615615258,48,36.3703,30.2869,58.24,2.39
159,kavaratti,0,IN,1615615258,63,10.5669,72.642,83.66,5.93
160,porbandar,56,IN,1615615259,38,21.6422,69.6093,86.92,3.22
161,las vegas,90,US,1615614484,76,36.175,-115.1372,46.0,3.44
162,semnan,100,IR,1615615259,69,35.5729,53.3971,31.5,7.31
163,fort saint john,,,,,,,,
164,santa vitoria do palmar,20,BR,1615615032,92,-33.5189,-53.3681,66.65,3.24
165,phan rang,,,,,,,,
166,ulaangom,77,MN,1615615259,80,49.9811,92.0667,26.58,2.91
167,bubaque,46,GW,1615615259,63,11.2833,-15.8333,77.68,5.5
168,salalah,0,OM,1615615260,69,17.0151,54.0924,78.8,2.3
169,qaanaaq,99,GL,1615615260,67,77.484,-69.3632,-1.89,4.74
170,kavieng,41,PG,1615615260,60,-2.5744,150.7967,83.98,6.11
171,saint-augustin,98,CA,1615615260,84,51.226,-58.6502,22.95,17.78
172,shizuishan,0,CN,1615615261,20,39.2333,106.7694,69.33,17.45
173,omboue,99,GA,1615615261,92,-1.5746,9.2618,73.63,4.88
174,severo-kurilsk,94,RU,1615615261,79,50.6789,156.125,27.37,23.24
175,esso,17,RU,1615615261,83,55.9333,158.7,8.29,9.46
176,vostok,1,RU,1615615262,89,46.4856,135.8833,37.11,1.88
177,sentyabrskiy,,,,,,,,
178,valparaiso,0,CL,1615615252,80,-33.0393,-71.6273,61.0,0.69
179,conakry,20,GN,1615615262,83,9.538,-13.6773,78.8,6.49
180,acucena,0,BR,1615615262,96,-19.0731,-42.5464,66.43,1.5
181,gizo,87,SB,1615615042,64,-8.103,156.8419,84.18,3.27
182,zeya,43,RU,1615615263,90,53.75,127.2667,36.59,2.73
183,nizhneyansk,,,,,,,,
184,saleaula,,,,,,,,
185,oistins,40,BB,1615615263,73,13.0667,-59.5333,77.0,17.27
186,dabola,63,GN,1615615263,40,10.75,-11.1167,70.36,1.52
187,vestmanna,40,FO,1615615263,81,62.1564,-7.1664,39.2,14.97
188,ijaki,,,,,,,,
189,port lincoln,32,AU,1615615264,55,-34.7333,135.8667,61.9,21.5
190,coahuayana,0,MX,1615615264,53,18.7333,-103.6833,70.95,3.27
191,wahran,,,,,,,,
192,mayumba,99,GA,1615615264,84,-3.432,10.6554,77.09,4.18
193,thompson,40,CA,1615615265,73,55.7435,-97.8558,15.8,3.44
194,chimbote,18,PE,1615615265,80,-9.0853,-78.5783,72.12,7.36
195,sidvokodvo,41,SZ,1615615265,87,-26.6282,31.4202,72.95,2.01
196,atar,46,MR,1615615265,19,20.5169,-13.0499,60.01,8.77
197,itoman,40,JP,1615615266,56,26.1247,127.6694,69.01,16.11
198,caravelas,0,BR,1615615266,85,-17.7125,-39.2481,71.17,4.38
199,constitucion,0,CL,1615615257,66,-35.3333,-72.4167,58.21,2.13
200,torbay,1,CA,1615615266,80,47.6666,-52.7314,37.0,25.32
201,quatre cocos,40,MU,1615615266,70,-20.2078,57.7625,84.99,11.5
202,norman wells,75,CA,1615615267,65,65.282,-126.8329,-4.0,11.5
203,chagda,,,,,,,,
204,beringovskiy,70,RU,1615615267,92,63.05,179.3167,27.5,17.36
205,benjamin aceval,0,PY,1615615267,68,-24.9667,-57.5667,71.6,4.61
206,umm kaddadah,48,SD,1615615267,15,13.6017,26.6876,79.56,28.1
207,cherskiy,95,RU,1615615268,92,68.75,161.3,-7.02,17.47
208,aklavik,99,CA,1615615268,77,68.2191,-135.0107,-13.0,5.75
209,beaverlodge,75,CA,1615615268,80,55.2166,-119.4361,32.0,5.75
210,pocoes,6,BR,1615615269,97,-14.5297,-40.3653,58.64,2.8
211,attawapiskat,,,,,,,,
212,nguiu,,,,,,,,
213,kahului,75,US,1615615269,94,20.8947,-156.47,71.6,19.57
214,yar-sale,95,RU,1615615269,81,66.8333,70.8333,-5.49,17.56
215,kamaishi,75,JP,1615615270,93,39.2667,141.8833,41.0,5.75
216,alofi,23,NU,1615615270,78,-19.0595,-169.9187,78.8,2.3
217,hasaki,75,JP,1615615270,88,35.7333,140.8333,57.2,24.16
218,oum hadjer,20,TD,1615615229,10,13.2954,19.6966,83.89,15.52
219,la macarena,75,CO,1615615271,85,2.1837,-73.7849,69.58,0.76
220,finschhafen,11,PG,1615615271,74,-6.6024,147.8681,85.57,11.27
221,saint george,40,US,1615615258,87,37.1041,-113.5841,39.0,4.61
222,chapais,90,CA,1615615066,72,49.7834,-74.8492,3.2,13.8
223,karauzyak,,,,,,,,
224,college,1,US,1615615271,76,64.8569,-147.8028,-16.01,2.33
225,mackay,7,AU,1615615272,70,-21.15,149.2,84.2,10.36
226,ob,,,,,,,,
227,mount gambier,90,AU,1615615272,67,-37.8333,140.7667,60.8,21.85
228,kajaani,90,FI,1615615272,86,64.2273,27.7285,21.2,5.75
229,kenai,1,US,1615615272,52,60.5544,-151.2583,12.2,5.75
230,marsa matruh,75,EG,1615615273,58,31.3525,27.2453,57.2,10.36
231,shelburne,9,CA,1615615210,75,44.0787,-80.2041,24.01,12.53
232,pleasanton,1,US,1615615207,71,37.6624,-121.8747,51.01,3.36
233,lloydminster,75,CA,1615615273,64,53.2835,-110.0016,33.8,12.66
234,wulanhaote,,,,,,,,
235,cabo san lucas,68,MX,1615615151,71,22.8909,-109.9124,64.99,1.99
236,sorvag,,,,,,,,
237,ostrovnoy,100,RU,1615615009,92,68.0531,39.5131,11.95,15.48
238,nanortalik,92,GL,1615615273,56,60.1432,-45.2371,15.53,7.61
239,formoso do araguaia,,,,,,,,
240,souillac,40,MU,1615615274,70,-20.5167,57.5167,84.2,11.5
241,tiksi,100,RU,1615615274,92,71.6872,128.8694,-9.27,9.62
242,hjelset,48,NO,1615615274,80,62.7833,7.4833,32.0,5.75
243,talnakh,100,RU,1615615274,97,69.4865,88.3972,-8.23,19.19
244,santa eulalia del rio,,,,,,,,
245,la paz,40,BO,1615615202,100,-16.5,-68.15,37.4,6.91
246,berlevag,99,NO,1615615275,84,70.8578,29.0864,19.85,12.88
247,sitka,75,US,1615615275,80,57.0531,-135.33,30.2,3.44
248,pascagoula,90,US,1615615275,100,30.3658,-88.5561,57.2,5.46
249,hervey bay,12,AU,1615615275,87,-25.2986,152.8535,75.99,8.99
250,palmer,1,US,1615615276,38,42.1584,-72.3287,42.8,19.57
251,beyneu,100,KZ,1615615276,47,45.3167,55.2,21.81,11.1
252,yellowknife,1,CA,1615615276,71,62.456,-114.3525,-2.0,11.5
253,kudahuvadhoo,29,MV,1615615009,72,2.6708,72.8944,83.39,10.07
254,icod de los vinos,58,ES,1615615276,60,28.3724,-16.7119,63.0,11.27
255,pangody,100,RU,1615615277,87,65.85,74.4859,15.87,23.49
256,tidore,,,,,,,,
257,sao filipe,0,CV,1615615277,74,14.8961,-24.4956,69.1,2.35
258,bathsheba,40,BB,1615615012,73,13.2167,-59.5167,77.0,17.27
259,vygonichi,90,RU,1615615277,86,53.0985,34.0673,24.8,11.18
260,lata,68,PT,1615615277,86,40.1629,-8.3327,48.99,3.04
261,mahibadhoo,51,MV,1615615278,71,3.7833,72.9667,83.7,11.54
262,illoqqortoormiut,,,,,,,,
263,uige,100,AO,1615615278,97,-7.6087,15.0613,67.73,1.14
264,ballina,20,AU,1615615278,65,-28.8667,153.5667,82.4,17.27
265,barcelos,75,PT,1615615278,93,41.5388,-8.6151,46.4,5.75
266,ilulissat,45,GL,1615615279,52,69.2167,-51.1,8.6,8.05
267,tottori,75,JP,1615615064,76,35.5,134.2333,50.0,25.32
268,saldanha,50,ZA,1615615275,88,-33.0117,17.9442,62.6,6.91
269,marcona,,,,,,,,
270,bethel,1,US,1615615259,36,41.3712,-73.414,51.8,18.41
271,medicine hat,1,CA,1615615071,64,50.0501,-110.6683,33.8,5.75
272,kazalinsk,,,,,,,,
273,pionerskiy,90,RU,1615615279,87,54.9508,20.2275,37.4,11.18
274,mount isa,61,AU,1615615279,33,-20.7333,139.5,93.2,11.5
275,clyde river,90,CA,1615615280,77,70.4692,-68.5914,-4.0,16.11
276,khormuj,,,,,,,,
277,udimskiy,79,RU,1615615280,91,61.1417,45.9144,13.78,13.02
278,merauke,72,ID,1615615280,76,-8.4667,140.3333,83.28,7.36
279,fougamou,98,GA,1615615280,97,-1.2154,10.5838,72.03,1.25
280,dunedin,0,NZ,1615615213,77,-45.8742,170.5036,61.0,11.99
281,daru,88,PG,1615615281,68,-9.0763,143.2092,84.72,7.65
282,wewak,85,PG,1615615281,69,-3.5534,143.6268,84.99,8.34
283,verkhoyansk,22,RU,1615615272,76,67.5447,133.385,-2.43,1.86
284,namibe,97,AO,1615615281,87,-15.1961,12.1522,74.08,4.25
285,ilhabela,29,BR,1615615281,90,-23.7781,-45.3581,75.0,0.22
286,garoua,77,CM,1615615282,50,9.3,13.4,85.39,10.65
287,nelson bay,13,AU,1615615058,54,-32.7167,152.15,86.0,13.8
288,hambantota,75,LK,1615615282,79,6.1241,81.1185,86.0,12.66
289,bilma,0,NE,1615615282,8,18.6853,12.9164,77.7,15.03
290,meyungs,,,,,,,,
291,sorland,97,NO,1615615282,95,67.667,12.6934,38.46,24.45
292,san quintin,1,MX,1615615283,70,30.4833,-115.95,51.96,11.27
293,jinchang,1,CN,1615615283,12,38.4953,102.1739,65.73,7.74
294,havoysund,90,NO,1615615283,73,70.9963,24.6622,21.2,6.91
295,pachino,75,IT,1615615283,93,36.7186,15.0907,50.0,1.14
296,podstepki,0,RU,1615615284,72,53.5151,49.1355,8.6,4.47
297,ajuchitlan,1,MX,1615615284,55,20.7167,-100.0167,62.6,10.36
298,matadi,100,CD,1615615284,94,-5.8167,13.45,77.22,1.14
299,birao,68,CF,1615615284,12,10.2849,22.7882,82.76,11.48
300,san ramon,1,US,1615615222,71,37.7799,-121.978,50.0,3.29
301,calgary,1,CA,1615615203,36,51.0501,-114.0853,44.6,5.82
302,tay ninh,0,VN,1615615285,27,11.3,106.1,96.73,7.58
303,merida,1,MX,1615615025,64,20.9667,-89.6167,73.99,6.91
