,0
0,saint-philippe
1,ushuaia
2,ahipara
3,saint-gilles
4,zima
5,bengkulu
6,cape town
7,esperance
8,oliveira
9,vangaindrano
10,albany
11,anadyr
12,saint-joseph
13,umzimvubu
14,nishihara
15,dawei
16,punta arenas
17,ponta do sol
18,tawzar
19,bluff
20,butaritari
21,bambous virieux
22,busselton
23,mys shmidta
24,dera din panah
25,mar del plata
26,hilo
27,praia da vitoria
28,atuona
29,kiama
30,warrensburg
31,taolanaro
32,pindiga
33,puerto ayora
34,acapulco
35,rikitea
36,hay river
37,vaini
38,tasiilaq
39,fairbanks
40,kalmunai
41,umkomaas
42,barentsburg
43,aksu
44,huntingdon
45,upernavik
46,tuatapere
47,luderitz
48,east london
49,tsihombe
50,san vicente
51,chengde
52,tutova
53,chokurdakh
54,urfa
55,vaitupu
56,mulki
57,meridian
58,christchurch
59,okha
60,hermanus
61,hithadhoo
62,vila velha
63,san patricio
64,barrow
65,nago
66,chuy
67,port alfred
68,sao jose da coroa grande
69,alice springs
70,beloha
71,kawalu
72,wanning
73,ocampo
74,arraial do cabo
75,provideniya
76,jamestown
77,auki
78,brae
79,zhuhai
80,saint-francois
81,yulara
82,port elizabeth
83,bundaberg
84,lewistown
85,rio grande
86,georgetown
87,balabac
88,kruisfontein
89,hobart
90,jiuquan
91,skibbereen
92,mahebourg
93,siquirres
94,nikolskoye
95,genhe
96,mahendragarh
97,prince rupert
98,carnarvon
99,komsomolskiy
100,dudinka
101,sampit
102,vao
103,garissa
104,narsaq
105,wloclawek
106,khatanga
107,saskylakh
108,talcahuano
109,dikson
110,avarua
111,kapaa
112,te anau
113,northam
114,morant bay
115,karamea
116,lompoc
117,lorengau
118,haines junction
119,nyurba
120,longyearbyen
121,ixtapa
122,bargal
123,tuktoyaktuk
124,amderma
125,castro
126,ancud
127,sataua
128,bredasdorp
129,beba
130,tezu
131,itaueira
132,pisco
133,sibolga
134,belushya guba
135,gat
136,touros
137,katobu
138,tessalit
139,eufaula
140,aleksandrov gay
141,cranbrook
142,filadelfia
143,new norfolk
144,ribeira grande
145,tazmalt
146,mataura
147,nogliki
148,henties bay
149,dingle
150,redlands
151,lincoln
152,kaitangata
153,toftir
154,geraldton
155,otane
156,iqaluit
157,kodiak
158,kumluca
159,kavaratti
160,porbandar
161,las vegas
162,semnan
163,fort saint john
164,santa vitoria do palmar
165,phan rang
166,ulaangom
167,bubaque
168,salalah
169,qaanaaq
170,kavieng
171,saint-augustin
172,shizuishan
173,omboue
174,severo-kurilsk
175,esso
176,vostok
177,sentyabrskiy
178,valparaiso
179,conakry
180,acucena
181,gizo
182,zeya
183,nizhneyansk
184,saleaula
185,oistins
186,dabola
187,vestmanna
188,ijaki
189,port lincoln
190,coahuayana
191,wahran
192,mayumba
193,thompson
194,chimbote
195,sidvokodvo
196,atar
197,itoman
198,caravelas
199,constitucion
200,torbay
201,quatre cocos
202,norman wells
203,chagda
204,beringovskiy
205,benjamin aceval
206,umm kaddadah
207,cherskiy
208,aklavik
209,beaverlodge
210,pocoes
211,attawapiskat
212,nguiu
213,kahului
214,yar-sale
215,kamaishi
216,alofi
217,hasaki
218,oum hadjer
219,la macarena
220,finschhafen
221,saint george
222,chapais
223,karauzyak
224,college
225,mackay
226,ob
227,mount gambier
228,kajaani
229,kenai
230,marsa matruh
231,shelburne
232,pleasanton
233,lloydminster
234,wulanhaote
235,cabo san lucas
236,sorvag
237,ostrovnoy
238,nanortalik
239,formoso do araguaia
240,souillac
241,tiksi
242,hjelset
243,talnakh
244,santa eulalia del rio
245,la paz
246,berlevag
247,sitka
248,pascagoula
249,hervey bay
250,palmer
251,beyneu
252,yellowknife
253,kudahuvadhoo
254,icod de los vinos
255,pangody
256,tidore
257,sao filipe
258,bathsheba
259,vygonichi
260,lata
261,mahibadhoo
262,illoqqortoormiut
263,uige
264,ballina
265,barcelos
266,ilulissat
267,tottori
268,saldanha
269,marcona
270,bethel
271,medicine hat
272,kazalinsk
273,pionerskiy
274,mount isa
275,clyde river
276,khormuj
277,udimskiy
278,merauke
279,fougamou
280,dunedin
281,daru
282,wewak
283,verkhoyansk
284,namibe
285,ilhabela
286,garoua
287,nelson bay
288,hambantota
289,bilma
290,meyungs
291,sorland
292,san quintin
293,jinchang
294,havoysund
295,pachino
296,podstepki
297,ajuchitlan
298,matadi
299,birao
300,san ramon
301,calgary
302,tay ninh
303,merida
304,larreynaga
305,susangerd
306,lolua
307,cajueiro
308,sioux lookout
309,grindavik
310,olhao
311,kismayo
312,risor
313,ginda
314,arman
315,makushino
316,miramar
317,mocambique
318,mmathubudukwane
319,san lawrenz
320,tilichiki
321,fortuna
322,dedougou
323,hobyo
324,dungarpur
325,srednekolymsk
326,buraydah
327,meulaboh
328,meadow lake
329,roald
330,garowe
331,mogapi
332,suamico
333,tupik
334,magadan
335,ulaanbaatar
336,taman
337,westport
338,sao joao da barra
339,mopti
340,taltal
341,nantucket
342,iracoubo
343,dzhebariki-khaya
344,sao felix do xingu
345,aykhal
346,alindao
347,tumannyy
348,port hardy
349,pen
350,victoria
351,ampanihy
352,tarrafal
353,grand centre
354,mbandaka
355,axim
356,umm ruwabah
357,malanje
358,plavsk
359,pacific grove
360,qasigiannguit
361,waw
362,angoram
363,machali
364,kpandu
365,nouadhibou
366,samusu
367,vanimo
368,fort nelson
369,mehamn
370,santa maria
371,tombouctou
372,tura
373,broken hill
374,lasa
375,vestmannaeyjar
376,dukat
377,kyra
378,bondo
379,pevek
380,xining
381,khash
382,mabaruma
383,belmonte
384,shingu
385,kaspiyskiy
386,avera
387,cockburn town
388,mercedes
389,adrar
390,camopi
391,san andres
392,pokrovsk-uralskiy
393,kyshtovka
394,moranbah
395,arequipa
396,gombong
397,guajara-mirim
398,tzaneen
399,leningradskiy
400,juybar
401,kununurra
402,olinda
403,bamako
404,amga
405,faya
406,champerico
407,la ronge
408,conceicao da barra
409,takob
410,ndele
411,natchez
412,bandarbeyla
413,camacari
414,paysandu
415,faanui
416,coquimbo
417,funtua
418,port augusta
419,alihe
420,pirgos
421,punta alta
422,turka
423,chunskiy
424,cidreira
425,portoferraio
426,vakhrushev
427,klaksvik
428,jacqueville
429,nome
430,mecca
431,moree
432,lexington
433,soe
434,solnechnyy
435,langarud
436,juneau
437,isiro
438,diamantino
439,chumikan
440,lebu
441,cabedelo
442,naze
443,caidian
444,morden
445,te karaka
446,yamada
447,tabalosos
448,nanzhang
449,moron
450,petropavlovsk-kamchatskiy
451,ust-nera
452,tabuk
453,boddam
454,codrington
455,yilan
456,padang
457,camacha
458,inderborskiy
459,tautira
460,yuty
461,bulgan
462,airai
463,egvekinot
464,wahiawa
465,bima
466,lavrentiya
467,san miguel
468,santiago
469,comandau
470,ukiah
471,cayenne
472,gangotri
473,tambo grande
474,nabire
475,puerto del rosario
476,manoel urbano
477,broome
478,byron bay
479,puerto salgar
480,zulueta
481,moroni
482,lagoa
483,kosh-agach
484,vrangel
485,seoul
486,eldikan
487,katsuura
488,ndouci
489,bonavista
490,japura
491,nuuk
492,palabuhanratu
493,koryukivka
494,huilong
495,grand river south east
496,idlib
497,hami
498,tapaua
499,abnub
500,aswan
501,qaqortoq
502,fort frances
503,temozon
504,port hawkesbury
505,magalia
506,fare
507,jasper
508,lancaster
509,ambalavao
510,visnes
511,muros
512,cody
513,isangel
514,ewa beach
515,mweka
516,houma
517,becerril
518,zhigalovo
519,namatanai
520,tshikapa
521,krasnoselkup
522,nava
523,jumla
524,islahiye
525,carauari
526,rakaia
527,ketchikan
528,tomatlan
529,calamar
530,yenagoa
531,matay
532,viedma
533,barstow
534,sandnessjoen
535,chikoy
536,ambulu
537,whitehorse
538,vardo
539,sur
540,barranca
541,wattegama
542,malartic
543,kizner
544,tabiauea
545,saintes
546,mao
547,nsukka
548,ola
549,port hedland
550,homer
551,burnie
552,rognan
553,biak
554,guerrero negro
555,sistranda
556,zalantun
557,qui nhon
558,falmouth
559,warwick
560,corn island
561,conceicao do araguaia
562,kamariotissa
563,taubate
564,eyl
565,acajutla
566,baruun-urt
567,qinnan
568,van
569,senneterre
570,eatonton
571,rolla
572,kushiro
573,cap malheureux
574,pakala
575,patrai
576,kanelovskaya
577,sambava
578,kamenskoye
579,caraquet
580,margate
581,roma
582,goderich
583,jalu
584,virden
585,nador
586,tual
587,liuli
588,lazaro cardenas
589,rawson
590,heihe
591,glubokoe
592,lesnoye
593,sao joao
594,sochaczew
595,xuzhou
596,fort-shevchenko
597,dzhusaly
598,tucupita
599,khonsa
600,tsogni
601,yairipok
602,babanusah
603,corinto
